#Table1,,,,,
u,g,r,i,z,redshift
23.09678,22.84121,20.57959,19.30441,18.60974,0.7716934
25.42241,22.422,21.03953,19.87716,19.20513,0.602523
21.78843,21.22087,19.6013,18.77986,18.11355,0.4907746
22.69528,22.07056,20.34053,19.44969,19.14725,0.5559428
17.6654,16.73162,16.33208,16.14243,15.88867,0.02607814
25.19765,21.6273,21.28502,21.08998,20.76598,1.408521
22.51412,22.35686,20.54108,19.54292,18.95347,0.598167
25.76091,21.46634,19.52999,18.81797,18.42697,0.4185033
21.06538,20.62743,20.52466,20.4612,20.34258,2.221484
21.46328,20.77944,20.37539,19.89739,19.68962,1.809116
-9999,-9999,-9999,-9999,-9999,0.09357206
24.54944,22.25997,20.62798,19.63243,19.26329,0.5368378
18.83854,17.79305,17.42255,17.2969,17.23088,0.000346897
22.86908,21.89097,20.18237,19.37541,18.90332,0.4181566
23.84073,22.07341,20.78921,19.93212,19.42669,0.5566398
21.86178,21.70369,20.46771,19.46475,18.97257,0.6022358
26.29965,22.19725,20.40314,19.26272,18.76322,0.5746409
-9999,-9999,18.88688,18.22599,-9999,0.3571636
19.49437,18.68431,18.38932,18.0281,18.00161,0.1090892
20.93288,18.73905,17.49559,17.01505,16.61389,0.1764077
18.29611,18.15421,17.90545,17.94475,18.16924,1.20881
19.06229,19.00774,18.94072,18.84436,18.75291,2.059268
23.94346,21.44774,19.71899,18.95659,18.48027,0.4068157
22.59101,21.4117,21.4512,21.2644,20.85888,-0.000273082
25.00849,22.2232,20.88476,19.8103,19.38321,0.6705267
25.2291,22.28698,20.62284,19.39179,18.82202,0.6026287
23.19004,21.9431,20.49057,19.72876,19.3017,0.4525183
23.28088,21.64768,20.27467,19.40197,19.13677,0.5558304
19.15065,17.36285,16.52798,16.15387,15.80557,0.10632
20.11838,19.65198,19.60028,19.27819,19.0302,1.73696
20.19775,18.67602,17.84144,17.4107,17.11329,0.1061512
20.64639,18.85397,17.77842,17.292,16.91594,0.1593368
24.77077,22.68329,20.81807,19.68834,19.4324,0.5549365
19.07301,18.11891,17.76631,17.65374,17.60394,-0.000158152
24.55848,22.73225,20.8279,19.64819,19.01508,0.6629294
24.73341,22.12307,20.7375,19.60532,19.24616,0.5193263
24.37945,22.10691,20.27828,19.17994,18.72576,0.5829917
24.27905,22.45005,20.94675,19.92928,19.50184,0.505
24.07931,21.15806,20.21546,19.47592,19.02653,0.5736505
20.22685,19.00493,18.85267,18.73449,18.6829,0.000455338
20.16037,18.15352,17.09905,16.61106,16.22216,0.1060516
24.13462,22.01604,20.56652,19.72411,19.55865,0.5451248
